nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT02437253,2017-08-16,2015-05-05,2017-05-03,Interventional,Phase 1/Phase 2,2,Completed,"Effects of Adalimumab in Mucopolysaccharidosis Types I, II and VI",2015-05-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2015,2015,2016,2016
NCT02446821,2022-04-04,2015-04-24,NA,Interventional,Phase 2,286,Completed,Evaluation of ContraMed VeraCept Intrauterine Copper Contraceptive for Long Acting Reversible Contraception,2015-06-01T00:00:00Z,2019-03-22T00:00:00Z,2017-05-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2019,2017
NCT02457988,2017-10-24,2015-02-25,NA,Interventional,Early Phase 1,120,Terminated,"The Cirrhosis Outpatient Optimization, Readmission & Safety Study",2015-04-01T00:00:00Z,2018-03-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2018,2017
NCT02472379,2017-05-01,2015-06-10,NA,Interventional,Not Applicable,78,Completed,Writing About Experiences and Health in Older Adults,2015-10-01T00:00:00Z,2017-03-01T00:00:00Z,2017-01-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2017,2017
NCT02488915,2018-06-13,2015-06-30,2018-05-17,Interventional,Not Applicable,228,Completed,Analysis of Revascularization in Ischemic Stroke With EmboTrap,2015-11-01T00:00:00Z,2017-09-01T00:00:00Z,2017-05-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,NA,NA,"UCLA, CA, USA.",NA,2015,2015,2017,2017
NCT02489279,2019-06-19,2015-06-30,2019-04-29,Interventional,Not Applicable,107,Completed,Training Attentional Awareness and Control in ADHD,2015-06-01T00:00:00Z,2017-04-01T00:00:00Z,2016-12-01T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2017,2016
NCT02514889,2017-10-13,2015-04-18,2017-07-30,Interventional,Not Applicable,261,Completed,Is MyPlate Approach to Helping Overweight Patients Lose Weight More Patient-centered?,2015-07-01T00:00:00Z,2017-07-31T00:00:00Z,2017-03-23T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,UCLA Fielding School of Public Health,NA,NA,NA,2015,2015,2017,2017
NCT02539797,2018-02-06,2015-08-26,2017-11-05,Interventional,Not Applicable,37,Completed,Improving Cognition in Schizophrenia Using tDCS,2014-10-01T00:00:00Z,2016-10-01T00:00:00Z,2016-10-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2014,2016,2016
NCT02582515,2019-04-03,2015-10-16,2019-03-11,Interventional,Not Applicable,20,Completed,Augmentation of Brief Habit Reversal Training With D-cycloserine or Placebo,2015-10-01T00:00:00Z,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2017,2017
NCT02589067,2020-12-03,2015-10-20,2020-06-15,Interventional,Phase 2,67,Completed,"Decolonization of the Oropharynx, an Important and Neglected Reservoir of S. Aureus Colonization",2015-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-10-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2015,2015,2017,2017
NCT02603471,2022-04-22,2014-07-15,NA,Interventional,Not Applicable,35,Completed,Cell Phone Technology Targeting ART and Naltrexone Adherence and Alcohol Use,2014-07-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Integrated Substance Abuse Programs,NA,NA,NA,2014,2014,2016,2016
NCT02605850,2019-12-30,2015-10-12,NA,Interventional,Not Applicable,32,Completed,Effects of Phytonutrients on Vascular Health,2016-01-01T00:00:00Z,2016-09-01T00:00:00Z,2016-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2015,2016,2016,2016
NCT02620488,2017-05-01,2015-10-05,NA,Interventional,Not Applicable,28,Completed,A Brief Laboratory-Based Hypnosis Session for Pain in Sickle Cell Disease,2015-09-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,Non-Randomized,Single,OTHER,FALSE,UCLA Pediatric Pain and Palliative Care Program,NA,NA,NA,2015,2015,2015,2015
NCT02634606,2019-01-23,2014-09-26,2019-01-23,Interventional,Phase 3,13,Terminated,Effects of a Supplement Derived From Palm Oil on Cholesterol Levels in the Blood,2011-03-22T00:00:00Z,2015-11-13T00:00:00Z,2015-11-13T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,UCLA Department of Medicine,NA,NA,NA,2014,2011,2015,2015
NCT02640079,2018-04-11,2015-12-17,NA,Interventional,Not Applicable,24,Completed,A Behavioral Intervention for Pain Catastrophizing in Primary Dysmenorrhea,2016-01-01T00:00:00Z,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2016,2017,2017
NCT02641249,2017-03-29,2015-12-18,2016-11-14,Interventional,Not Applicable,19,Completed,Non-invasive Intervention for Apnea of Prematurity,2014-10-01T00:00:00Z,2016-02-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2015,2014,2016,2015
NCT02670343,2018-02-23,2016-01-28,2017-06-27,Interventional,Phase 1/Phase 2,8,Completed,Phlebotomy Study of Testosterone Undecanoate,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2016,2016,2016,2016
NCT02672033,2020-07-22,2015-11-02,2020-02-05,Interventional,Not Applicable,2,Terminated,Accelerated Hypofractionated Radiation Therapy Immediately Before Surgery in Treating Patients With Malignant Pleural Mesothelioma,2015-09-01T00:00:00Z,2018-07-17T00:00:00Z,2016-05-24T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,UCLA / Jonsson Comprehensive Cancer Center,NA,NA,NA,2015,2015,2018,2016
NCT02687633,2018-04-30,2016-02-10,NA,Interventional,Not Applicable,8,Completed,Early Behavioral Intervention to Improve Social Communication Function in Infants With Tuberous Sclerosis Complex,2015-09-01T00:00:00Z,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2015,2017,2017
NCT02701387,2016-11-01,2016-02-29,2016-11-01,Interventional,Not Applicable,7,Completed,Effect of Implant Thread Design on Implant Stability Quotient (ISQ) in Early Healing Period,2014-08-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2016,2014,2015,2015
NCT02722005,2017-10-24,2016-03-24,NA,Interventional,Not Applicable,150,Completed,The Impact of Family Financial Support on Health Related Quality of Life,2016-03-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02723227,2017-10-24,2016-03-25,NA,Interventional,Not Applicable,150,Completed,The Impact of Family Financial Support on Parental Stress,2016-03-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02723318,2017-10-24,2016-03-25,NA,Interventional,Not Applicable,150,Completed,The Impact of Family Financial Support on Cognition,2016-03-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02723357,2017-10-24,2016-03-24,NA,Interventional,Not Applicable,150,Completed,The Impact of Family Financial Support on Parental Mental Health,2016-03-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02745405,2016-04-15,2016-04-11,NA,Interventional,Not Applicable,109,Completed,Implications of Wearing a Fat Suit,2014-04-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2016,2014,2014,2014
NCT02752646,2017-03-03,2016-04-25,NA,Interventional,Not Applicable,200,Completed,Tolerability and Toxicity of Topically Applied Nepafenac 0.3% vs Ketorolac 0.5%,2016-04-01T00:00:00Z,2017-03-01T00:00:00Z,2017-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,UCLA Jules Stein Eye Institute,NA,NA,NA,2016,2016,2017,2017
NCT02770144,2017-10-24,2016-03-25,NA,Interventional,Not Applicable,150,Completed,The Impact of Family Financial Support on Child Health,2016-03-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02819050,2021-12-08,2016-05-24,2017-10-12,Interventional,Not Applicable,80,Completed,Effective Approaches & Strategies to Ease Off Nasal CPAP In Preterm Infants,2014-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2016,2014,2016,2016
NCT02879994,2021-06-24,2016-08-23,2020-09-11,Interventional,Phase 2,11,Completed,"Pembrolizumab in Treating Patients With EGFR Mutant, Tyrosine Kinase Inhibitor Naive Advanced Non-Small Cell Lung Cancer",2016-09-15T00:00:00Z,2019-01-03T00:00:00Z,2017-11-30T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,UCLA / Jonsson Comprehensive Cancer Center,NA,NA,NA,2016,2016,2019,2017
NCT02898844,2016-09-12,2016-09-08,NA,Interventional,Not Applicable,164,Completed,Randomized Controlled Experiment of Dieting in Pairs,2013-10-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2016,2013,2014,2014
NCT02921386,2018-04-18,2016-09-29,2018-03-05,Interventional,Phase 2,18,Completed,The Effect of Various Amounts of Fat on PK of Oral Testosterone Undecanoate,2016-10-01T00:00:00Z,2017-01-21T00:00:00Z,2017-01-21T00:00:00Z,TRUE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2016,2016,2017,2017
NCT02953158,2019-12-30,2016-10-06,NA,Interventional,Not Applicable,60,Completed,Effectiveness of Changing Dietary Fat on Weight Loss,2017-01-03T00:00:00Z,2017-12-20T00:00:00Z,2017-12-20T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Center for Human Nutrition,NA,NA,NA,2016,2017,2017,2017
NCT02970162,2018-12-20,2016-11-16,2018-09-24,Interventional,Phase 3,26,Completed,Phase 3 Study to Evaluate Efficacy of Amifampridine Phosphate in Lambert-Eaton Myasthenic Syndrome (LEMS),2016-11-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02986945,2019-04-15,2016-12-01,NA,Interventional,Not Applicable,30,Completed,Community-Partnered Participatory Development of Mobile Interventions,2016-12-01T00:00:00Z,2017-03-28T00:00:00Z,2017-03-28T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2016,2016,2017,2017
NCT02994602,2018-02-22,2016-11-18,NA,Interventional,Phase 1,12,Completed,Study of Serum Testosterone and Nestorone in Females After Secondary Exposure to Nestorone ® (NES) + Testosterone (T) Combined Gel Applied to Shoulders and Upper Arms in Males,2017-01-01T00:00:00Z,2017-10-01T00:00:00Z,2017-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2016,2017,2017,2017
NCT03253874,2017-08-15,2016-11-15,NA,Interventional,Not Applicable,1798,Completed,Pre-Operative Testing for Cataract Surgery Among Adults in LA County,2014-10-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Non-Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2016,2014,2016,2016
NCT03676803,2019-11-01,2018-09-17,2019-10-15,Interventional,Not Applicable,31,Completed,Effect of Spice Consumption on the Microbiome,2017-08-03T00:00:00Z,2018-05-30T00:00:00Z,2017-11-17T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"Center for Human Nutrition, UCLA David Geffen School of Medicine",NA,NA,NA,2018,2017,2018,2017
NCT03828604,2019-02-01,2019-01-31,NA,Interventional,Not Applicable,57,Completed,Stress-Induced Inflammation and Reward Processing,2017-05-12T00:00:00Z,2018-05-09T00:00:00Z,2017-12-08T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2019,2017,2018,2017
NCT03862443,2019-03-01,2019-02-14,NA,Interventional,Not Applicable,36,Completed,BEhavioral EConomics for Oral Health iNnovation Pilot Trial,2017-05-10T00:00:00Z,2018-03-19T00:00:00Z,2017-08-13T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2019,2017,2018,2017
NCT04598100,2020-10-16,2020-10-01,NA,Interventional,Not Applicable,199,Completed,Promoting Resiliency in Veteran Families With Young Children,2014-04-03T00:00:00Z,2018-06-30T00:00:00Z,2017-01-18T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,"University of California, Los Angeles, Semel Institute",NA,"University of California, Los Angeles, Semel Institute",NA,2020,2014,2018,2017
NCT04710095,2021-01-20,2021-01-12,NA,Interventional,Not Applicable,60,Completed,Perceived Alcohol Rewards and Risks Study,2015-11-13T00:00:00Z,2017-04-05T00:00:00Z,2017-04-05T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2021,2015,2017,2017
